InstanceName,NativeAttributeName,AggregationStatisticCV,IntervalTimeUnitName,AggregationInterval,SourceName,ScenarioName,UnitName,Value
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/2003,398.2916667
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/2004,573.6115591
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/2005,509.0456989
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/2006,719.8198925
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/2007,726.6505376
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1967,925.3138889
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1968,725.1597222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1969,1384.609722
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1970,560.4652778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1971,1729.627778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1972,1748.281944
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1973,1516.365278
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1974,1232.015278
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1975,940.9430556
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1976,1598.376389
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1977,421.1472222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1978,1240.586111
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1979,920.1041667
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1980,1119.754167
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1981,454.9263889
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1982,1285.625
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1983,1868.609722
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1984,3121.968056
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1985,2790.730556
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1986,3095.919444
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1987,595.7569444
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1988,717.2611111
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1989,834.2277778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1990,433.4152778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1991,436.2722222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1992,422.6597222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1993,858.5958333
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1994,494.4194444
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1995,612.0583333
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1996,1174.204167
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1997,1916.505556
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1998,1782.397222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/1999,1235.376389
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/2000,751.0402778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/2001,436.1041667
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/2002,545.8444444
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/2003,363.1680556
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/2004,435.2638889
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/2005,1039.255556
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/2006,1733.661111
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,4/1/2007,581.4722222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,5/1/1967,917.4206989
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,5/1/1968,389.672043
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,5/1/1969,710.7123656
